name,date,home,draw,away
"Andujar, Pablo - Barranco Cosano, Javier",2021-09-06 10:00:00,1.5,0,2.43
"Carballes Baena, Roberto - Ocleppo, Julian",2021-09-06 10:00:00,1.14,0,4.95
"Geerts, Michael - Draper, Jack",2021-09-06 10:00:00,1.71,0,2.03
"Giustino, Lorenzo - Cobolli, Flavio",2021-09-06 10:00:00,2.77,0,1.39
"Oliveira, Goncalo - Lenz, Julian",2021-09-06 10:00:00,1.93,0,1.78
"Ortega-olmedo, Roberto - Andreev, Adrian",2021-09-06 10:00:00,4.12,0,1.19
"Sanchez Izquierdo, Nikolas - Barrios Vera, Marcelo Tomas",2021-09-06 10:00:00,2.6,0,1.44
"Nejedly, Pavel - Villanueva, Gonzalo",2021-09-05 12:40:00,1.64,0,2.07
"Molleker, Rudolf - Oberleitner, Neil",2021-09-05 12:45:00,1.16,0,4.32
"Ignatik, Uladzimir - Pichler, David",2021-09-05 13:05:00,1.29,0,3.18
"Matos, Rafael - Simon, Tobias",2021-09-05 15:00:00,1.75,0,1.93
"Bachinger, Matthias - Monteiro, Thiago",2021-09-06 10:00:00,3.26,0,1.29
"Erler, Alexander - Rosol, Lukas",2021-09-06 10:00:00,2.05,0,1.69
"Huesler, Marc-andrea - Dzumhur, Damir",2021-09-06 10:00:00,2.58,0,1.44
"Kovalik, Jozef - Hanfmann, Yannick",2021-09-06 10:00:00,2.09,0,1.66
"Lehecka, Jiri - Janvier, Maxime",2021-09-06 10:00:00,1.34,0,3.02
"Majchrzak, Kamil - Rune, Holger Vitus Nodskov",2021-09-06 10:00:00,1.94,0,1.78
"Melzer, Gerald - Meligeni Rodrigues Alves, Felipe",2021-09-06 10:00:00,1.93,0,1.78
"Moraing, Mats - Miedler, Lucas",2021-09-06 10:00:00,1.42,0,2.68
"Neumayer, Lukas - Vesely, Jiri",2021-09-06 10:00:00,4.42,0,1.17
"Stebe, Cedrik-marcel - Blancaneaux, Geoffrey",2021-09-06 10:00:00,1.43,0,2.62
Bortolotti M / Cuevas M - Eriksson M / Madaras D N,2021-09-07 10:00:00,1.55,0,2.25
Cozbinov A / Echargui M - Milojevic N / Setkic A,2021-09-07 10:00:00,1.57,0,2.21
Sabanov I / Sabanov M - Tadic V / Topo M,2021-09-07 10:00:00,1.03,0,8.44
Sancic A / Serdarusic N - Guinard M / Margaroli L,2021-09-07 10:00:00,2.15,0,1.6
Barranco Cosano J / Martos Gornes S - Vance J / Whiting T,2021-09-07 10:00:00,1.17,0,4.27
Barroso Campos A / Llamas Ruiz P - Motti A / Ocleppo J,2021-09-07 10:00:00,3.25,0,1.28
Gimeno-Traver D / Martinez P - Brancaccio R / Esteve Lobato E,2021-09-07 10:00:00,2.3,0,1.53
Giustino L / Oliveira G - Vega Hernandez D / Vervoort M,2021-09-07 10:00:00,2.15,0,1.6
Merino A / Ugo Carabelli C - Sanchez Jover C / Vidal Azorin J F,2021-09-07 10:00:00,1.65,0,2.07
Taberner C / Zapata Miralles B - Geerts M / Lenz J,2021-09-07 10:00:00,2.23,0,1.56
"Escoffier, Antoine - Hurrion, Millen",2021-09-05 15:00:00,1.3,0,2.94
"Ragazzi, Alessandro - Tanuma, Ryota",2021-09-05 14:00:00,1.75,0,1.89
"Den Ouden, Guy - Veldheer, Mick",2021-09-05 13:00:00,1.41,0,2.57
"Cabay, Louis - Ernaelsteen, Victor",2021-09-05 13:00:00,8.58,0,1.02
"Deschamps, Thomas (Fra) - Bol, Jurriaan",2021-09-05 13:15:00,1.18,0,3.94
"Hoeveler, Leon - Hodzic, Alen Moritz",2021-09-05 14:00:00,1.55,0,2.2
"Koch, Niklas - Temirhanov, Arslanbek",2021-09-05 14:00:00,2.0,0,1.67
"Schlagenhauf, Noah - Martinez, Mateo Nicolas",2021-09-05 14:00:00,4.14,0,1.16
"Van Assendelft, Jip - Hoogland, Joris",2021-09-05 14:00:00,1.28,0,3.11
"Ebeling, Robin - Oumaouche, Rayane",2021-09-05 14:30:00,8.12,0,1.02
"Schommer, Fred Olivier - Bischof, Finn",2021-09-05 14:45:00,2.24,0,1.51
"Hornung, Marcel - Stuurman, Roland",2021-09-05 15:30:00,4.54,0,1.12
"Van Nunen, Max - Megrabian, Andre",2021-09-05 15:30:00,2.24,0,1.51
"Svitolinova, Elina - Halepova, Simona",2021-09-05 18:00:00,1.89,0,1.92
"Kerberova, Angelique - Fernandez, Leylah Annie",2021-09-05 19:00:00,1.36,0,3.18
"Mertensova, Elise - Sabalenkova, Aryna",2021-09-05 20:15:00,3.16,0,1.36
"Krejcikova, Barbora - Muguruzaova, Garbine",2021-09-06 03:00:00,1.78,0,2.05
"Bencicova, Belinda - Swiatek, Iga",2021-09-06 17:00:00,2.0,0,1.79
"Pliskova, Karolina - Pavlyuchenkova, Anastasia",2021-09-06 17:00:00,1.64,0,2.22
"Rogers, Shelby - Raducanu, Emma",2021-09-06 17:00:00,2.16,0,1.67
"Sakkariova, Maria - Andreescu, Bianca",2021-09-06 17:00:00,1.61,0,2.27
Kudermetova V / Mattek-sands B - Dolehide C / Sanders S,2021-09-05 17:00:00,1.38,0,3.08
Kasatkina D / Kontaveit A - Jurak D / Klepac A,2021-09-05 19:00:00,2.34,0,1.61
Martic P / Rogers S - Dabrowski G / Stefani L,2021-09-05 20:30:00,2.88,0,1.42
Petkovic A / Tomljanovic A - Kichenok K / Olaru R,2021-09-05 20:30:00,2.61,0,1.5
Diyas Z / Gracheva V - Bouzkova M / Hradecka L,2021-09-05 21:45:00,3.68,0,1.29
Stosur S / Zhang S - Aoyama S / Shibahara E,2021-09-06 17:00:00,2.86,0,1.41
"Bondarenko, Maria - Desperrier, Gaelle",2021-09-05 14:30:00,2.4,0,1.46
