name,date,home,draw,away
Baez S. - Beloborodko I.,2021-09-06 09:00:00,1.12,0,5.60
Clarke J. - Skatov T.,2021-09-06 09:00:00,1.74,0,2.02
Pucinelli De Almeida M. - Vrbensky M.,2021-09-06 09:00:00,1.48,0,2.50
Borges N. - Halys Q.,2021-09-06 09:00:00,1.78,0,1.97
Agamenone F. - Kozlov S.,2021-09-06 09:00:00,1.37,0,2.95
Lamasine T. - Uchida K.,2021-09-06 09:00:00,1.36,0,3.00
Chappell N. - Krutykh O.,2021-09-06 09:00:00,3.35,0,1.29
Luz O. - Ferreira Silva F.,2021-09-06 09:00:00,1.76,0,2.00
Jianu F.C. - Zusman R.,2021-09-06 09:00:00,1.03,0,11.00
Sels J. - Stakhovsky S.,2021-09-06 09:00:00,1.37,0,2.95
Uchiyama Y. - Lacko L. finále,2021-09-05 19:00:00,1.84,0,1.98
Marti Pujolras A. - Vidal Azorin J.F. (Q1),2021-09-05 12:45:00,1.52,0,2.43
Esteve Lobato E. - Motti A. (Q1),2021-09-05 12:55:00,1.02,0,11.00
Martin Tiffon P. - Rosenkranz M. (Q1),2021-09-05 13:45:00,1.42,0,2.75
Darderi L. - Alvarez Varona N. (Q1),2021-09-05 14:15:00,2.45,0,1.51
Ortega-Olmedo R. - Andreev A.,2021-09-06 10:00:00,4.20,0,1.20
Geerts M. - Draper J.,2021-09-06 10:00:00,1.72,0,2.05
Carballes Baena R. - Ocleppo J.,2021-09-06 10:00:00,1.14,0,5.20
Andujar P. - Barranco Cosano J.,2021-09-06 10:00:00,1.51,0,2.46
Giustino L. - Cobolli F.,2021-09-06 10:00:00,2.80,0,1.40
Oliveira G. - Lenz J.,2021-09-06 10:00:00,1.95,0,1.80
Sanchez Izquierdo N. - Barrios Vera M.T.,2021-09-06 10:00:00,2.65,0,1.45
Bonzi B. - O'Connell C. finále,2021-09-05 14:00:00,1.91,0,1.90
Nejedly P. - Villanueva G. (Q1),2021-09-05 12:40:00,1.67,0,2.12
Molleker R. - Oberleitner N. (Q1),2021-09-05 12:45:00,1.18,0,4.60
Ignatik U. - Pichler D. (Q1),2021-09-05 13:05:00,1.31,0,3.25
Matos R. - Simon T. (Q1),2021-09-05 15:00:00,1.78,0,1.97
Lehecka J. - Janvier M.,2021-09-06 10:00:00,1.34,0,3.05
Majchrzak K. - Rune H.V.N.,2021-09-06 10:00:00,1.95,0,1.80
Huesler M.A. - Dzumhur D.,2021-09-06 10:00:00,2.60,0,1.45
Kovalik J. - Hanfmann Y.,2021-09-06 10:00:00,2.11,0,1.68
Moraing M. - Miedler L.,2021-09-06 10:00:00,1.43,0,2.70
Erler A. - Rosol L.,2021-09-06 10:00:00,2.08,0,1.70
Melzer G. - Meligeni Rodrigues Alves F.,2021-09-06 10:00:00,1.94,0,1.80
Bachinger M. - Monteiro T.,2021-09-06 10:00:00,3.30,0,1.30
Stebe C.M. - Blancaneaux G.,2021-09-06 10:00:00,1.44,0,2.65
Neumayer L. - Vesely J.,2021-09-06 10:00:00,4.50,0,1.18
Sabanov I. / Sabanov M. - Tadic V. / Topo M.,2021-09-07 10:00:00,1.03,0,9.00
Sancic A. / Serdarusic N. - Guinard M. / Margaroli L.,2021-09-07 10:00:00,2.18,0,1.61
Celikbilek A. / Safiullin R. - Broady L. / Johnson L.,2021-09-07 10:00:00,2.00,0,1.73
Cazaux A. / Khan Z. - Drzewiecki K. / Zuk K.,2021-09-07 10:00:00,2.36,0,1.52
Matsui T. / Uesugi K. - Nedunchezhiyan J. / Raja P.,2021-09-07 10:00:00,2.33,0,1.54
Cornea V.V. / Tsitsipas P. - Aragone J. / Barrientos N.,2021-09-07 10:00:00,2.70,0,1.41
Gonzales R. / Johnson H. - Clarke J. / Kirkin E.,2021-09-07 09:00:00,1.57,0,2.25
Gakhov I. / Rybakov A. - Kalenichenko D. / Mashtakov N.,2021-09-07 09:00:00,1.48,0,2.47
Luz O. / Nedovyesov A. - Braynin A. / Kravchenko G.,2021-09-07 09:00:00,1.15,0,4.70
Barroso Campos A. / Llamas Ruiz P. - Motti A. / Ocleppo J.,2021-09-07 10:00:00,3.30,0,1.29
Taberner C. / Zapata Miralles B. - Geerts M. / Lenz J.,2021-09-07 10:00:00,2.26,0,1.57
Giustino L. / Oliveira G. - Vega Hernandez D. / Vervoort M.,2021-09-07 10:00:00,2.18,0,1.61
Merino A. / Ugo Carabelli C. - Sanchez Jover C. / Vidal Azorin J.F.,2021-09-07 10:00:00,1.66,0,2.10
Gimeno-Traver D. / Martinez P. - Brancaccio R. / Esteve Lobato E.,2021-09-07 10:00:00,2.33,0,1.54
Emesz B. / Kaufmann H.P. - Matos R. / Meligeni Rodrigues Alves F.,2021-09-07 10:00:00,9.20,0,1.03
Erler A. / Miedler L. - Haerteis J. / Hassan B.,2021-09-07 10:00:00,1.47,0,2.50
Blancaneaux G. / Janvier M. - Misolic F. / Neuchrist M.,2021-09-07 10:00:00,1.52,0,2.36
Martineau M. / Villanueva G. - Neumayer L. / Oberleitner N.,2021-09-07 10:00:00,1.90,0,1.80
Brown D. / Vavassori A. - Melzer G. / Melzer J.,2021-09-07 10:00:00,1.58,0,2.23
Goransson A. / Lammons N. - Bobrov B. / Horansky F.,2021-09-07 10:00:00,1.22,0,3.80
Gengel M. / Ignatik U. - Jebavy R. / Zelenay I.,2021-09-07 10:00:00,3.70,0,1.23
Bondarenko M. - Desperrier G. finále,2021-09-05 14:30:00,2.50,0,1.50
Den Ouden G. - Veldheer M.,2021-09-05 13:00:00,1.43,0,2.65
Escoffier A. - Hurrion M.,2021-09-05 15:00:00,1.32,0,3.10
Cabay L. - Ernaelsteen V. (Q),2021-09-05 13:00:00,9.20,0,1.02
Deschamps T. (fra) - Bol J. (Q),2021-09-05 13:15:00,1.19,0,4.00
Hoeveler L. - Hodzic A.M. (Q),2021-09-05 14:00:00,1.56,0,2.23
Van Assendelft J. - Hoogland J. (Q),2021-09-05 14:00:00,1.29,0,3.15
Schlagenhauf N. - Martinez M.N. (Q),2021-09-05 14:00:00,4.20,0,1.17
Koch N. - Temirhanov A. (Q),2021-09-05 14:00:00,2.02,0,1.68
Ebeling R. - Oumaouche R. (Q),2021-09-05 14:30:00,8.60,0,1.03
Schommer F.O. - Bischof F.,2021-09-05 14:45:00,2.30,0,1.53
Hornung M. - Stuurman R. (Q),2021-09-05 15:30:00,4.80,0,1.13
Van Nunen M. - Megrabian A. (Q),2021-09-05 15:30:00,2.30,0,1.53
Ragazzi A. - Tanuma R.,2021-09-05 14:00:00,1.78,0,1.93
